train_mae,train_r2,train_spearmanr,train_mse,train_rmse,train_mean_loss,train_sum_loss,val_mae,val_r2,val_spearmanr,val_mse,val_rmse,val_mean_loss,val_sum_loss,test_mae,test_r2,test_spearmanr,test_mse,test_rmse,test_mean_loss,test_sum_loss
0.31326,0.78805,0.89532,0.18815,0.43376,0.3132699401192441,473.35087952017784,0.34678,0.75529,0.89243,0.22409,0.47338,0.3467650887222938,112.35188874602318,0.34555,0.7482,0.88539,0.21744,0.46631,0.34552961417738304,111.9515949934721
0.31098,0.79123,0.8963,0.18532,0.43049,0.3110195725347568,469.95057410001755,0.31497,0.77859,0.89663,0.20275,0.45028,0.314926999034705,102.03634768724442,0.31285,0.7805,0.89136,0.18955,0.43537,0.31281951943665376,101.35352429747581
0.30705,0.7951,0.89777,0.18188,0.42648,0.30703838293833263,463.9349966198206,0.32427,0.77329,0.89479,0.2076,0.45564,0.32420775942780355,105.04331405460835,0.31975,0.77563,0.89045,0.19375,0.44017,0.31968785891378365,103.57886628806591
0.30573,0.79653,0.89954,0.18062,0.42499,0.30573170486662576,461.96060605347157,0.31961,0.77666,0.89804,0.20452,0.45224,0.31960801950391426,103.55299831926823,0.31281,0.78361,0.89603,0.18686,0.43227,0.31281609230755286,101.35241390764713
0.30278,0.79968,0.90074,0.17782,0.42169,0.30278061702107845,457.50151231884956,0.31638,0.78305,0.89511,0.19867,0.44572,0.31663899574382803,102.59103462100029,0.31093,0.78426,0.89084,0.1863,0.43162,0.3110196436812848,100.77036455273628
0.30058,0.80302,0.90221,0.17486,0.41816,0.30057822734926176,454.1737015247345,0.31716,0.78058,0.89298,0.20093,0.44825,0.31704559581883157,102.72277304530144,0.3133,0.78232,0.88772,0.18798,0.43356,0.3132706974391584,101.49970597028732
0.29617,0.80808,0.90461,0.17037,0.41275,0.29617026678522557,447.5132731124759,0.3123,0.78792,0.89811,0.19421,0.44069,0.31226732641642474,101.17461375892162,0.30853,0.78775,0.89339,0.18329,0.42812,0.30848447753139485,99.94897072017193
0.29297,0.81112,0.90641,0.16767,0.40947,0.29296547709948806,442.67083589732647,0.31201,0.79419,0.90122,0.18847,0.43413,0.3119710000852744,101.0786040276289,0.31043,0.78976,0.89596,0.18155,0.42609,0.31042164338775624,100.57661245763302
0.29205,0.81345,0.90714,0.1656,0.40694,0.2920462567233471,441.2818939089775,0.31103,0.79061,0.90393,0.19175,0.43789,0.3110589128401544,100.78308776021004,0.30484,0.7926,0.90014,0.1791,0.4232,0.3048407195802824,98.7683931440115
0.28956,0.81623,0.90851,0.16313,0.40389,0.2895591062654493,437.52380956709385,0.30841,0.78632,0.90177,0.19567,0.44235,0.30844800891699614,99.93715488910675,0.30109,0.79723,0.90014,0.1751,0.41845,0.3010733694665962,97.54777170717716
0.28545,0.81968,0.91092,0.16007,0.40008,0.285440380292409,431.30041462183,0.30215,0.80243,0.90461,0.18092,0.42535,0.3020550544247215,97.86583763360977,0.29919,0.79757,0.8987,0.17481,0.4181,0.29920729539460605,96.94316370785236
0.28427,0.82154,0.91185,0.15842,0.39802,0.2842798318731162,429.5468259602785,0.31139,0.79433,0.9041,0.18834,0.43398,0.31128761806973704,100.8571882545948,0.30882,0.79029,0.89959,0.18109,0.42555,0.308846089621017,100.06613303720951
0.281,0.8241,0.91327,0.15614,0.39515,0.28099434872599804,424.582460924983,0.30435,0.79625,0.90345,0.18658,0.43195,0.30445122622229437,98.64219729602337,0.30186,0.79523,0.89678,0.17683,0.42051,0.3018848175343908,97.81068088114262
0.27811,0.82827,0.91502,0.15244,0.39044,0.27810822164949245,420.2215229123831,0.301,0.80073,0.90463,0.18248,0.42717,0.3010490566584063,97.53989435732365,0.29637,0.79933,0.90062,0.17328,0.41627,0.29642836400020267,96.04278993606567
0.27635,0.82993,0.91597,0.15097,0.38855,0.2763585660293511,417.5777932703495,0.2974,0.80315,0.90567,0.18026,0.42457,0.29756631545814466,96.41148620843887,0.29361,0.80568,0.90315,0.1678,0.40964,0.2934897420582948,95.09067642688751
0.27319,0.8316,0.91704,0.14949,0.38664,0.2731999885278534,412.80518266558647,0.29663,0.80681,0.90642,0.17691,0.42061,0.29656880063775143,96.08829140663147,0.29237,0.80495,0.90235,0.16843,0.4104,0.29248984880101536,94.76671101152897
0.27167,0.83582,0.91848,0.14574,0.38176,0.27167386867840665,410.49921557307243,0.30677,0.79471,0.90582,0.18799,0.43358,0.3067393150686482,99.38353808224201,0.30169,0.79573,0.9024,0.1764,0.42,0.3017971484841388,97.78227610886097
0.26926,0.8372,0.91978,0.14452,0.38015,0.2692768564490906,406.8773300945759,0.29766,0.80525,0.90788,0.17834,0.4223,0.29764831539841347,96.43805418908596,0.29637,0.79241,0.89972,0.17926,0.4234,0.29647798615473286,96.05886751413345
0.26594,0.84149,0.92116,0.1407,0.37511,0.26594938515315064,401.84952096641064,0.31114,0.78402,0.89876,0.19778,0.44473,0.3110498588670183,100.78015427291393,0.31056,0.78124,0.89001,0.18891,0.43463,0.3106032123352275,100.6354407966137
0.26393,0.84269,0.9219,0.13964,0.37369,0.26394603165232683,398.8224538266659,0.29923,0.80373,0.9065,0.17973,0.42395,0.29924564882193083,96.95559021830559,0.29581,0.80048,0.90196,0.17229,0.41508,0.2958364374475715,95.85100573301315
0.26122,0.84496,0.92351,0.13763,0.37099,0.2612147962392205,394.69555711746216,0.29365,0.80718,0.90733,0.17657,0.4202,0.29367153622485975,95.14957773685455,0.28996,0.80278,0.90336,0.17031,0.41269,0.2899855854978532,93.95532970130444
0.26003,0.84711,0.92392,0.13572,0.3684,0.2600181622863368,392.8874432146549,0.29725,0.80366,0.90703,0.17979,0.42402,0.2971624679127593,96.28063960373402,0.29495,0.80046,0.90248,0.17231,0.41511,0.294894325926348,95.54576160013676
